Time Elapsed,ID,X-Coord,Y-Coord
1485.0,5142007056,1.759,25.04
1485.0,5142871824,0.835,23.064
1485.0,5144082512,10.595,37.462
1485.0,5144660752,29.186,36.396
1485.0,5144808976,5.346,34.711
1485.0,5144668304,26.355,1.587
1485.0,5144752464,34.881,16.716
1485.0,5144817744,0.786,21.35
1485.0,5144920144,28.113,15.371
1485.0,5144969424,28.518,24.485
1485.0,5144976400,25.483,26.494
1485.0,5145051664,31.62,19.13
1485.0,5126108560,6.498,7.363
1485.0,5144669008,11.395,21.438
1485.0,5145103696,33.823,22.593
1485.0,5145105232,2.491,33.401
1485.0,5142859728,22.056,16.262
1485.0,5144004560,20.892,6.923
1486.0,5142007056,1.759,25.04
1486.0,5142871824,0.835,23.064
1486.0,5144082512,10.595,37.462
1486.0,5144660752,29.186,36.396
1486.0,5144808976,5.346,34.711
1486.0,5144668304,26.355,1.587
1486.0,5144752464,34.881,16.716
1486.0,5144920144,28.113,15.371
1486.0,5144969424,28.518,24.485
1486.0,5144976400,25.483,26.494
1486.0,5145051664,31.62,19.13
1486.0,5126108560,6.498,7.363
1486.0,5144669008,11.395,21.438
1486.0,5145103696,33.823,22.593
1486.0,5145105232,2.491,33.401
1486.0,5144004560,20.892,6.923
1486.0,5142859728,20.638,39.289
1486.0,5144819216,7.506,25.273
1487.0,5142007056,1.759,25.04
1487.0,5142871824,0.835,23.064
1487.0,5144082512,10.595,37.462
1487.0,5144660752,29.186,36.396
1487.0,5144808976,5.346,34.711
1487.0,5144668304,26.355,1.587
1487.0,5144752464,34.881,16.716
1487.0,5144920144,28.113,15.371
1487.0,5144969424,28.518,24.485
1487.0,5144976400,25.483,26.494
1487.0,5145051664,31.62,19.13
1487.0,5126108560,6.498,7.363
1487.0,5144669008,11.395,21.438
1487.0,5145103696,33.823,22.593
1487.0,5145105232,2.491,33.401
1487.0,5144004560,20.892,6.923
1487.0,5142859728,20.638,39.289
1487.0,5144819216,7.506,25.273
1488.0,5142007056,1.759,25.04
1488.0,5144082512,10.595,37.462
1488.0,5144660752,29.186,36.396
1488.0,5144808976,5.346,34.711
1488.0,5144668304,26.355,1.587
1488.0,5144752464,34.881,16.716
1488.0,5144920144,28.113,15.371
1488.0,5144969424,28.518,24.485
1488.0,5144976400,25.483,26.494
1488.0,5145051664,31.62,19.13
1488.0,5126108560,6.498,7.363
1488.0,5144669008,11.395,21.438
1488.0,5145103696,33.823,22.593
1488.0,5145105232,2.491,33.401
1488.0,5144004560,20.892,6.923
1488.0,5142859728,20.638,39.289
1488.0,5144819216,7.506,25.273
1489.0,5142007056,1.759,25.04
1489.0,5144082512,10.595,37.462
1489.0,5144660752,29.186,36.396
1489.0,5144808976,5.346,34.711
1489.0,5144668304,26.355,1.587
1489.0,5144752464,34.881,16.716
1489.0,5144920144,28.113,15.371
1489.0,5144969424,28.518,24.485
1489.0,5144976400,25.483,26.494
1489.0,5145051664,31.62,19.13
1489.0,5126108560,6.498,7.363
1489.0,5144669008,11.395,21.438
1489.0,5145103696,33.823,22.593
1489.0,5145105232,2.491,33.401
1489.0,5144004560,20.892,6.923
1489.0,5142859728,20.638,39.289
1489.0,5144819216,7.506,25.273
1489.0,5145162768,38.998,6.707
1490.0,5142007056,1.759,25.04
1490.0,5144082512,10.595,37.462
1490.0,5144660752,29.186,36.396
1490.0,5144808976,5.346,34.711
1490.0,5144668304,26.355,1.587
1490.0,5144752464,34.881,16.716
1490.0,5144920144,28.113,15.371
1490.0,5144969424,28.518,24.485
1490.0,5144976400,25.483,26.494
1490.0,5145051664,31.62,19.13
1490.0,5126108560,6.498,7.363
1490.0,5144669008,11.395,21.438
1490.0,5145103696,33.823,22.593
1490.0,5145105232,2.491,33.401
1490.0,5144004560,20.892,6.923
1490.0,5142859728,20.638,39.289
1490.0,5144819216,7.506,25.273
1490.0,5138053776,0.409,29.187
1491.0,5142007056,1.759,25.04
1491.0,5144082512,10.595,37.462
1491.0,5144660752,29.186,36.396
1491.0,5144808976,5.346,34.711
1491.0,5144668304,26.355,1.587
1491.0,5144752464,34.881,16.716
1491.0,5144920144,28.113,15.371
1491.0,5144969424,28.518,24.485
1491.0,5144976400,25.483,26.494
1491.0,5145051664,31.62,19.13
1491.0,5126108560,6.498,7.363
1491.0,5144669008,11.395,21.438
1491.0,5145103696,33.823,22.593
1491.0,5145105232,2.491,33.401
1491.0,5144004560,20.892,6.923
1491.0,5142859728,20.638,39.289
1491.0,5144819216,7.506,25.273
1491.0,5138053776,0.409,29.187
1492.0,5144082512,10.595,37.462
1492.0,5144660752,29.186,36.396
1492.0,5144808976,5.346,34.711
1492.0,5144668304,26.355,1.587
1492.0,5144752464,34.881,16.716
1492.0,5144920144,28.113,15.371
1492.0,5144969424,28.518,24.485
1492.0,5144976400,25.483,26.494
1492.0,5145051664,31.62,19.13
1492.0,5126108560,6.498,7.363
1492.0,5144669008,11.395,21.438
1492.0,5145103696,33.823,22.593
1492.0,5145105232,2.491,33.401
1492.0,5144004560,20.892,6.923
1492.0,5142859728,20.638,39.289
1492.0,5144819216,7.506,25.273
1492.0,5138053776,0.409,29.187
1493.0,5144082512,10.595,37.462
1493.0,5144660752,29.186,36.396
1493.0,5144808976,5.346,34.711
1493.0,5144668304,26.355,1.587
1493.0,5144752464,34.881,16.716
1493.0,5144920144,28.113,15.371
1493.0,5144969424,28.518,24.485
1493.0,5144976400,25.483,26.494
1493.0,5145051664,31.62,19.13
1493.0,5144669008,11.395,21.438
1493.0,5145103696,33.823,22.593
1493.0,5145105232,2.491,33.401
1493.0,5144004560,20.892,6.923
1493.0,5142859728,20.638,39.289
1493.0,5144819216,7.506,25.273
1493.0,5138053776,0.409,29.187
1494.0,5144082512,10.595,37.462
1494.0,5144660752,29.186,36.396
1494.0,5144808976,5.346,34.711
1494.0,5144668304,26.355,1.587
1494.0,5144752464,34.881,16.716
1494.0,5144920144,28.113,15.371
1494.0,5144969424,28.518,24.485
1494.0,5144976400,25.483,26.494
1494.0,5145051664,31.62,19.13
1494.0,5144669008,11.395,21.438
1494.0,5145103696,33.823,22.593
1494.0,5145105232,2.491,33.401
1494.0,5144004560,20.892,6.923
1494.0,5142859728,20.638,39.289
1494.0,5138053776,0.409,29.187
1495.0,5144082512,10.595,37.462
1495.0,5144660752,29.186,36.396
1495.0,5144808976,5.346,34.711
1495.0,5144668304,26.355,1.587
1495.0,5144752464,34.881,16.716
1495.0,5144920144,28.113,15.371
1495.0,5144969424,28.518,24.485
1495.0,5144976400,25.483,26.494
1495.0,5145051664,31.62,19.13
1495.0,5144669008,11.395,21.438
1495.0,5145103696,33.823,22.593
1495.0,5145105232,2.491,33.401
1495.0,5144004560,20.892,6.923
1495.0,5142859728,20.638,39.289
1495.0,5138053776,0.409,29.187
1496.0,5144082512,10.595,37.462
1496.0,5144660752,29.186,36.396
1496.0,5144808976,5.346,34.711
1496.0,5144668304,26.355,1.587
1496.0,5144752464,34.881,16.716
1496.0,5144920144,28.113,15.371
1496.0,5144969424,28.518,24.485
1496.0,5144976400,25.483,26.494
1496.0,5145051664,31.62,19.13
1496.0,5144669008,11.395,21.438
1496.0,5145103696,33.823,22.593
1496.0,5145105232,2.491,33.401
1496.0,5144004560,20.892,6.923
1496.0,5142859728,20.638,39.289
1496.0,5138053776,0.409,29.187
1496.0,5145283280,3.79,32.398
1497.0,5144082512,10.595,37.462
1497.0,5144660752,29.186,36.396
1497.0,5144808976,5.346,34.711
1497.0,5144668304,26.355,1.587
1497.0,5144752464,34.881,16.716
1497.0,5144920144,28.113,15.371
1497.0,5144969424,28.518,24.485
1497.0,5144976400,25.483,26.494
1497.0,5145051664,31.62,19.13
1497.0,5144669008,11.395,21.438
1497.0,5145103696,33.823,22.593
1497.0,5145105232,2.491,33.401
1497.0,5144004560,20.892,6.923
1497.0,5142859728,20.638,39.289
1497.0,5138053776,0.409,29.187
1497.0,5145283280,3.79,32.398
1497.0,5145287056,17.009,14.317
1498.0,5144082512,10.595,37.462
1498.0,5144660752,29.186,36.396
1498.0,5144808976,5.346,34.711
1498.0,5144668304,26.355,1.587
1498.0,5144752464,34.881,16.716
1498.0,5144920144,28.113,15.371
1498.0,5144976400,25.483,26.494
1498.0,5144669008,11.395,21.438
1498.0,5145103696,33.823,22.593
1498.0,5145105232,2.491,33.401
1498.0,5144004560,20.892,6.923
1498.0,5142859728,20.638,39.289
1498.0,5138053776,0.409,29.187
1498.0,5145283280,3.79,32.398
1498.0,5145287056,17.009,14.317
1499.0,5144082512,10.595,37.462
1499.0,5144660752,29.186,36.396
1499.0,5144808976,5.346,34.711
1499.0,5144668304,26.355,1.587
1499.0,5144752464,34.881,16.716
1499.0,5144920144,28.113,15.371
1499.0,5144976400,25.483,26.494
1499.0,5144669008,11.395,21.438
1499.0,5145103696,33.823,22.593
1499.0,5145105232,2.491,33.401
1499.0,5144004560,20.892,6.923
1499.0,5142859728,20.638,39.289
1499.0,5138053776,0.409,29.187
1499.0,5145283280,3.79,32.398
1499.0,5145287056,17.009,14.317
1499.0,5145292880,21.946,26.783
1500.0,5144082512,10.595,37.462
1500.0,5144660752,29.186,36.396
1500.0,5144808976,5.346,34.711
1500.0,5144668304,26.355,1.587
1500.0,5144752464,34.881,16.716
1500.0,5144920144,28.113,15.371
1500.0,5144976400,25.483,26.494
1500.0,5144669008,11.395,21.438
1500.0,5145103696,33.823,22.593
1500.0,5145105232,2.491,33.401
1500.0,5144004560,20.892,6.923
1500.0,5142859728,20.638,39.289
1500.0,5145283280,3.79,32.398
1500.0,5145287056,17.009,14.317
1500.0,5145292880,21.946,26.783
1501.0,5144082512,10.595,37.462
1501.0,5144660752,29.186,36.396
1501.0,5144808976,5.346,34.711
1501.0,5144668304,26.355,1.587
1501.0,5144752464,34.881,16.716
1501.0,5144920144,28.113,15.371
1501.0,5144976400,25.483,26.494
1501.0,5144669008,11.395,21.438
1501.0,5145103696,33.823,22.593
1501.0,5145105232,2.491,33.401
1501.0,5144004560,20.892,6.923
1501.0,5142859728,20.638,39.289
1501.0,5145283280,3.79,32.398
1501.0,5145287056,17.009,14.317
1501.0,5145292880,21.946,26.783
1502.0,5144082512,10.595,37.462
1502.0,5144660752,29.186,36.396
1502.0,5144808976,5.346,34.711
1502.0,5144668304,26.355,1.587
1502.0,5144752464,34.881,16.716
1502.0,5144920144,28.113,15.371
1502.0,5144976400,25.483,26.494
1502.0,5144669008,11.395,21.438
1502.0,5145103696,33.823,22.593
1502.0,5145105232,2.491,33.401
1502.0,5144004560,20.892,6.923
1502.0,5142859728,20.638,39.289
1502.0,5145283280,3.79,32.398
1502.0,5145287056,17.009,14.317
1502.0,5145292880,21.946,26.783
1502.0,5145367888,6.712,13.437
1503.0,5144082512,10.595,37.462
1503.0,5144660752,29.186,36.396
1503.0,5144808976,5.346,34.711
1503.0,5144668304,26.355,1.587
1503.0,5144752464,34.881,16.716
1503.0,5144920144,28.113,15.371
1503.0,5144976400,25.483,26.494
1503.0,5144669008,11.395,21.438
1503.0,5145103696,33.823,22.593
1503.0,5145105232,2.491,33.401
1503.0,5144004560,20.892,6.923
1503.0,5142859728,20.638,39.289
1503.0,5145287056,17.009,14.317
1503.0,5145292880,21.946,26.783
1503.0,5145367888,6.712,13.437
1504.0,5144082512,10.595,37.462
1504.0,5144660752,29.186,36.396
1504.0,5144808976,5.346,34.711
1504.0,5144668304,26.355,1.587
1504.0,5144752464,34.881,16.716
1504.0,5144920144,28.113,15.371
1504.0,5144976400,25.483,26.494
1504.0,5144669008,11.395,21.438
1504.0,5145103696,33.823,22.593
1504.0,5142859728,20.638,39.289
1504.0,5145287056,17.009,14.317
1504.0,5145292880,21.946,26.783
1504.0,5145367888,6.712,13.437
1504.0,5145153488,2.453,11.755
1505.0,5144082512,10.595,37.462
1505.0,5144660752,29.186,36.396
1505.0,5144808976,5.346,34.711
1505.0,5144668304,26.355,1.587
1505.0,5144752464,34.881,16.716
1505.0,5144920144,28.113,15.371
1505.0,5144976400,25.483,26.494
1505.0,5144669008,11.395,21.438
1505.0,5145103696,33.823,22.593
1505.0,5142859728,20.638,39.289
1505.0,5145287056,17.009,14.317
1505.0,5145292880,21.946,26.783
1505.0,5145367888,6.712,13.437
1505.0,5145153488,2.453,11.755
1505.0,5145376528,32.907,34.893
