Time Elapsed/s,ID,X-Coord,Y-Coord,Energy
424.0,5127495696,1.507,13.933,68.2
424.0,5126639568,18.681,28.843,19.1
424.0,5126692112,31.908,8.053,70.8
424.0,5125871632,4.818,16.834,71.7
424.0,5127139280,1.868,30.031,125.9
424.0,5130168336,30.882,18.974,127.8
424.0,5127545168,26.002,36.07,78.8
424.0,5127753680,30.096,7.096,79.5
424.0,5129665488,11.741,33.789,32.7
424.0,5127663824,12.733,31.942,41.5
424.0,5131325392,15.951,31.372,95.9
424.0,5128483280,3.274,14.413,99.3
424.0,5130604176,17.468,36.992,84.5
425.0,4301760784,23.152,18.077,25.0
425.0,5127078352,19.895,30.295,77.4
425.0,5126636368,17.35,13.516,41.2
425.0,5126096784,25.752,19.872,32.1
425.0,5126039824,21.108,36.517,97.9
425.0,5126379600,32.088,6.907,1.7
425.0,5127662864,36.495,15.904,5.1
425.0,5126144080,18.917,17.882,57.8
425.0,5127831184,17.541,9.709,59.7
425.0,5126333264,28.849,17.025,115.4
425.0,5129194448,35.676,18.828,70.3
425.0,5128077392,29.068,7.83,27.7
425.0,5125945168,29.068,13.778,30.0
425.0,5127274960,9.067,12.11,80.5
425.0,5127702224,16.919,23.092,33.1
425.0,5127830224,22.753,27.734,34.4
425.0,5128420176,11.978,19.727,86.1
425.0,5126179088,1.604,34.957,56.2
425.0,5128090576,32.286,7.044,87.3
425.0,5128650000,29.623,5.73,37.8
425.0,5127765264,6.629,36.257,90.2
425.0,5126292624,9.781,33.335,43.1
425.0,5127487568,30.877,38.769,45.9
425.0,5127340112,21.218,30.156,49.4
425.0,5126002256,36.63,12.741,2.4
425.0,5128695440,10.651,34.376,56.1
425.0,5129957712,20.449,25.166,8.0
425.0,5127082512,15.191,23.226,8.7
425.0,5126187856,18.685,4.417,59.7
425.0,5126032400,16.809,19.799,59.9
425.0,5128754512,35.447,21.268,10.3
425.0,5126695056,10.545,30.766,11.7
425.0,5126699344,35.983,28.303,14.8
425.0,5130415312,13.788,3.769,115.8
425.0,5127495696,0.616,13.781,67.2
425.0,5126639568,18.001,28.41,18.1
425.0,5126692112,32.683,8.172,69.8
425.0,5125871632,5.754,16.574,70.7
425.0,5127139280,1.04,29.5,74.9
425.0,5130168336,31.296,18.117,126.8
425.0,5127545168,25.388,35.35,77.8
425.0,5127753680,29.554,7.737,78.5
425.0,5129665488,12.388,34.463,31.7
425.0,5127663824,12.056,31.322,40.5
425.0,5131325392,15.013,31.623,94.9
425.0,5128483280,2.886,15.277,148.3
425.0,5130604176,18.366,37.104,83.5
425.0,5132681872,1.593,30.597,99.2
426.0,4301760784,23.715,17.291,24.0
426.0,5127078352,20.165,29.376,76.4
426.0,5126636368,16.812,14.257,40.2
426.0,5126096784,24.9,20.114,31.1
426.0,5126039824,22.046,36.547,96.9
426.0,5126379600,32.512,7.755,0.7
426.0,5127662864,36.801,15.14,4.1
426.0,5126144080,19.334,17.428,56.8
426.0,5127831184,16.74,10.254,58.7
426.0,5126333264,27.962,17.089,114.4
426.0,5129194448,34.843,19.247,69.3
426.0,5128077392,28.234,7.941,26.7
426.0,5125945168,29.241,12.842,29.0
426.0,5127274960,8.383,12.591,79.5
426.0,5127702224,17.27,23.414,32.1
426.0,5127830224,23.187,26.864,33.4
426.0,5128420176,11.04,19.522,85.1
426.0,5126179088,1.141,34.113,55.2
426.0,5128090576,31.333,6.844,86.3
426.0,5128650000,28.797,5.285,36.8
426.0,5127765264,5.683,36.439,89.2
426.0,5126292624,10.542,33.84,42.1
426.0,5127487568,31.09,39.718,44.9
426.0,5127340112,22.161,29.86,48.4
426.0,5126002256,36.89,13.566,1.4
426.0,5128695440,11.338,33.837,55.1
426.0,5129957712,20.056,24.354,7.0
426.0,5127082512,14.232,23.148,7.7
426.0,5126187856,18.112,5.211,58.7
426.0,5126032400,16.826,18.889,58.9
426.0,5128754512,35.289,20.389,9.3
426.0,5126695056,11.471,30.928,10.7
426.0,5126699344,35.648,27.373,13.8
426.0,5130415312,13.968,4.637,114.8
426.0,5127495696,0.323,14.51,66.2
426.0,5126639568,17.234,28.314,17.1
426.0,5126692112,32.019,7.75,68.8
426.0,5125871632,6.367,17.135,69.7
426.0,5127139280,1.008,28.814,123.9
426.0,5130168336,31.78,17.274,125.8
426.0,5127545168,24.86,34.588,76.8
426.0,5127753680,28.813,8.33,77.5
426.0,5129665488,12.964,35.232,30.7
426.0,5127663824,12.417,30.632,39.5
426.0,5131325392,14.24,31.242,93.9
426.0,5128483280,2.716,16.101,147.3
426.0,5130604176,18.748,37.944,82.5
426.0,5132681872,2.436,30.693,98.2
427.0,4301760784,23.996,16.427,23.0
427.0,5127078352,19.544,28.918,75.4
427.0,5126636368,16.44,15.145,39.2
427.0,5126096784,24.08,20.51,30.1
427.0,5126039824,22.875,36.51,95.9
427.0,5127662864,37.128,14.282,3.1
427.0,5126144080,20.122,17.136,55.8
