,Time Elapsed/s,Agent Population,Food Population
281,103.4999999999984,23.0,48.0
282,103.4999999999984,24.0,48.0
283,103.59999999999839,24.0,47.0
284,103.79999999999838,24.0,47.0
285,103.79999999999838,24.0,48.0
286,104.99999999999831,24.0,47.0
287,104.99999999999831,25.0,47.0
288,104.99999999999831,25.0,47.0
289,104.99999999999831,25.0,48.0
290,105.29999999999829,25.0,48.0
291,105.29999999999829,25.0,49.0
292,105.49999999999828,25.0,48.0
293,107.29999999999818,25.0,48.0
294,107.29999999999818,25.0,49.0
295,107.99999999999814,25.0,48.0
296,108.89999999999809,25.0,48.0
297,108.89999999999809,25.0,49.0
298,109.19999999999807,25.0,48.0
299,109.29999999999806,25.0,48.0
300,109.29999999999806,25.0,49.0
301,109.49999999999805,25.0,48.0
302,109.99999999999802,25.0,47.0
303,110.19999999999801,25.0,46.0
304,112.0999999999979,25.0,46.0
305,112.0999999999979,25.0,47.0
306,112.69999999999787,25.0,46.0
307,112.69999999999787,26.0,46.0
308,113.29999999999784,26.0,46.0
309,113.29999999999784,26.0,47.0
310,113.49999999999783,26.0,46.0
311,113.49999999999783,27.0,46.0
312,113.49999999999783,27.0,45.0
313,113.49999999999783,28.0,45.0
314,113.59999999999782,28.0,45.0
315,113.59999999999782,28.0,46.0
316,113.69999999999781,28.0,45.0
317,113.69999999999781,29.0,45.0
318,114.09999999999779,29.0,44.0
319,114.59999999999776,29.0,43.0
320,114.59999999999776,29.0,43.0
321,114.59999999999776,29.0,44.0
322,114.69999999999776,29.0,43.0
323,114.69999999999776,30.0,43.0
324,115.49999999999771,30.0,43.0
325,115.49999999999771,30.0,44.0
326,115.7999999999977,30.0,43.0
327,116.39999999999766,30.0,42.0
328,116.89999999999763,30.0,42.0
329,116.89999999999763,30.0,43.0
330,117.59999999999759,30.0,43.0
331,117.59999999999759,30.0,44.0
332,117.99999999999757,30.0,43.0
333,117.99999999999757,31.0,43.0
334,118.19999999999756,31.0,42.0
335,118.19999999999756,32.0,42.0
336,118.19999999999756,32.0,42.0
337,118.19999999999756,32.0,43.0
338,118.39999999999755,32.0,43.0
339,118.39999999999755,32.0,44.0
340,118.49999999999754,32.0,44.0
341,118.49999999999754,32.0,45.0
342,118.59999999999754,32.0,45.0
343,118.59999999999754,32.0,46.0
344,119.1999999999975,32.0,45.0
345,119.49999999999748,32.0,45.0
346,119.49999999999748,32.0,46.0
347,119.59999999999748,32.0,45.0
348,119.59999999999748,33.0,45.0
349,119.69999999999747,33.0,44.0
